Id,cx,cy,cz,no_points,area,score
0,-6.312378,-26.433626,-1.687498,35,2.281475,2.000000
1,-16.888525,-6.425900,-1.670337,9,1.077800,2.000000
2,-16.543890,-20.579510,-1.681708,83,1.670006,2.000000
3,-14.677228,-24.917858,-1.685383,421,2.185562,2.000000
4,-19.260893,-21.146685,-1.681869,82,4.959428,2.000000
5,-8.199604,-29.669853,-1.689886,315,4.406116,2.000000
6,-15.732081,-28.066460,-1.687790,45,1.918205,2.000000
7,-10.500362,-27.623991,-1.688000,18,2.042638,2.000000
8,-6.743275,-24.551086,-1.685944,48,6.582028,2.000000
9,-9.867258,-33.236935,-1.692563,49,25.593477,2.000000
10,-6.006953,-35.746597,-1.694988,180,13.823419,2.000000
11,-17.591597,-22.897900,-1.683451,8,10.789049,2.000000
12,-9.444219,-24.714104,-1.685784,12,13.470838,2.000000
13,-14.727266,-27.366772,-1.687338,8,6.813711,2.000000
14,-23.689981,-12.750432,-1.674669,210,1.011133,1.938145
15,-10.240651,-29.917654,-1.689864,8,6.893995,1.500000
16,-16.960367,-26.363298,-1.686294,15,2.637940,1.500000
17,-11.341729,-33.597942,-1.692693,7,17.690023,1.500000
18,-4.119911,-28.166660,-1.689121,31,43.797775,1.500000
19,0.453927,1.084659,-1.666192,129,0.427747,1.396870
20,-3.962490,-4.965671,-1.670561,16,0.389647,1.361520
21,-19.502098,-8.386243,-1.671625,89,0.858864,1.296868
22,-23.062227,-18.172779,-1.679079,366,0.219675,1.203818
23,-6.683741,-9.848203,-1.674177,9,0.123267,1.114369
24,-3.582254,-0.922408,-1.667364,117,0.055857,1.051825
25,-10.804683,-4.693048,-1.669605,106,0.054852,1.050893
26,1.097807,-2.134762,-1.668839,110,0.021990,1.020403
27,-7.312576,-4.424345,-1.669767,79,0.017514,1.016250
28,-15.691629,-9.325683,-1.672789,326,0.017392,1.016137
29,-27.379055,-15.759645,-1.676681,45,0.010195,1.009459
30,-13.122219,-31.614992,-1.690913,6,22.246868,1.000000
31,-12.108248,-8.957819,-1.672880,14,0.284787,0.764229
32,-8.097285,-10.313358,-1.674398,15,0.280691,0.760429
33,-7.782094,-13.735062,-1.677171,12,0.095192,0.588321
34,-8.065202,-6.797370,-1.671585,38,0.061775,0.557316
35,-5.829709,-12.613690,-1.676484,8,0.115900,0.107534
36,-6.389021,-0.830863,-1.666988,9,0.014120,0.013101
